date,Omicron_BA2,Omicron_BA1,average_c,average_k,Omicron_BA2_lb,Omicron_BA2_ub,Omicron_BA1_lb,Omicron_BA1_ub,average_c_lb,average_c_ub,average_k_lb,average_k_ub
2022-02-25,0.13799074562549252,0.8620092543745075,1.0,1.0453370876650145,0.1047343685470714,0.16730101842203196,0.8326989815779681,0.8952656314529286,1.0,1.0,1.0388289839085056,1.0496739035175164
2022-02-26,0.14905353027557963,0.8509464697244203,1.0,1.0489717838558836,0.1145564219219194,0.1790303081415641,0.8209696918584359,0.8854435780780806,1.0,1.0,1.0424703898551033,1.0531564860585698
2022-02-27,0.16082595785945977,0.8391740421405403,1.0,1.0528396344061588,0.12516042613985304,0.19138085764518753,0.8086191423548125,0.874839573860147,1.0,1.0,1.0464016944961279,1.056823528914721
2022-02-28,0.17332544350610554,0.8266745564938944,1.0,1.0569463610852619,0.1365824781513986,0.2043579478082934,0.7956420521917066,0.8634175218486014,1.0,1.0,1.0506362803337184,1.0606766000482994
2022-03-01,0.1865653672592936,0.8134346327407064,1.0,1.0612963599287024,0.14885549429261793,0.21796301482047634,0.7820369851795237,0.8511445057073821,1.0,1.0,1.0551863506961712,1.0647161258831495
2022-03-02,0.20055441559685894,0.7994455844031411,1.0,1.0658924848931375,0.1620082058825756,0.2321932645589365,0.7678067354410635,0.8379917941174244,1.0,1.0,1.0600625573680063,1.0689412768069488
2022-03-03,0.2152960632999579,0.7847039367000421,1.0,1.070735877623662,0.1760641856236782,0.24704147808578408,0.7529585219142159,0.8239358143763218,1.0,1.0,1.065273639639823,1.0738753089207091
2022-03-04,0.2307876476769857,0.7692123523230143,1.0,1.075825663288546,0.19104050188961663,0.2624953349575649,0.7375046650424351,0.8089594981103834,1.0,1.0,1.0708259254020411,1.0794331423920518
2022-03-05,0.2470200753861934,0.7529799246138066,1.0,1.0811588542553205,0.2069467969501502,0.27853749642848474,0.7214625035715152,0.7930532030498498,1.0,1.0,1.0760873638792272,1.085268390777526
2022-03-06,0.2639772416603468,0.7360227583396532,1.0,1.0867301592760792,0.22378411902888415,0.2951453207199919,0.7048546792800081,0.7762158809711158,1.0,1.0,1.0807680556466384,1.0913746597694598
2022-03-07,0.28163566372976284,0.7183643362702372,1.0,1.0925318630480096,0.24154391613942883,0.31229079354761774,0.6877092064523822,0.7584560838605712,1.0,1.0,1.0856182947093447,1.097742542131845
2022-03-08,0.29996423716710674,0.7000357628328933,1.0,1.0985537461600754,0.26020715373968334,0.3299405473789679,0.6700594526210322,0.7397928462603167,1.0,1.0,1.0906304113866647,1.1043595196792553
2022-03-09,0.3189241437764308,0.6810758562235693,1.0,1.1047830548298057,0.2797436160705018,0.3480559837140413,0.6519440162859587,0.7202563839294982,1.0,1.0,1.0957951571989828,1.1112099336347199
2022-03-10,0.33846893099998915,0.6615310690000109,1.0,1.1112045269925361,0.3001114456704909,0.3665935049674432,0.6334064950325569,0.699888554329509,1.0,1.0,1.101101729116534,1.1182750320602435
2022-03-11,0.3585447757485716,0.6414552242514284,1.0,1.1178004789833018,0.3212569695098633,0.3855048570886508,0.6144951429113492,0.6787430304901367,1.0,1.0,1.1065378255484968,1.1255330997460902
2022-03-12,0.3790909384908133,0.6209090615091867,1.0,1.12455095472863,0.34311485098413264,0.4047375798657293,0.5952624201342707,0.6568851490158674,1.0,1.0,1.1120897347733012,1.1329596724370747
2022-03-13,0.40004040545690267,0.5999595945430973,1.0,1.1314339367436317,0.36560859378470023,0.42423555768331106,0.575764442316689,0.6343914062152998,1.0,1.0,1.1177424553692508,1.1405278333380116
